,Brand,Model,Price,Location,Engine,Model Year,Fuel Type,Road Trip
269,Harley-Davidson,Harley-Davidson Fat Bob ,"6,25,000",bangalore,,2014,petrol,"25,000"
270,Triumph,Triumph Bonneville T100 900cc ,"3,89,500",mumbai, 900cc,2015,petrol,"7,500"
271,Triumph,Triumph Street Triple 675cc ,"4,67,500",mumbai, 675cc,2015,petrol,"7,500"
272,Harley-Davidson,Harley-Davidson Street 750 ,"4,25,900",bangalore, 750,2019,petrol,"24,000"
273,Kawasaki,Kawasaki Z900 ,"8,83,500",bangalore,,2019,petrol,"7,500"
274,Hyosung,Hyosung Aquila Pro GV650 ,"2,85,500",,,2020,petrol,"10,000"
275,BMW,BMW G 310 R ,"2,43,900",bangalore, 310 R,2019,petrol,"4,900"
276,Benelli,Benelli TNT 600i ,"4,67,500",mumbai, 600i,2018,petrol,"6,300"
277,Harley-Davidson,Harley-Davidson Fat Boy ,"9,87,500",mumbai,,2014,petrol,"7,300"
278,Kawasaki,Kawasaki Versys 650cc ,"6,49,500",mumbai, 650cc,2018,petrol,"3,500"
279,Kawasaki,Kawasaki Versys 650cc ,"6,24,500",mumbai, 650cc,2018,petrol,"14,000"
280,Harley-Davidson,Harley-Davidson Iron 883 ,449500₹,mumbai, 883,2014,petrol,"3,250"
281,Royal,Royal Enfield Interceptor 650cc BS6 ,"2,81,500",mumbai, 650cc,2020,petrol,"13,000"
282,Royal,Royal Enfield Interceptor 650cc ,"2,54,500",mumbai, 650cc,2019,petrol,"3,200"
283,Royal,Royal Enfield Continental GT 650cc ,"3,05,710",mumbai, 650cc,2020,petrol,"2,150"
284,Harley-Davidson,Harley-Davidson XG750 750cc ,"4,65,500",mumbai, 750cc,2018,petrol,"11,100"
285,Kawasaki,Kawasaki Ninja 650cc ,"4,92,550",mumbai, 650cc,2020,petrol,"21,500"
286,Kawasaki,Kawasaki Ninja 300 ABS ,"3,10,900",mumbai, 300 ABS,2019,petrol,"15,300"
287,Royal,Royal Enfield Interceptor 650cc ,"2,43,430",mumbai, 650cc,2019,petrol,"15,350"
288,BMW,BMW G 310 R ,"2,38,240",mumbai, 310 R,2018,petrol,"3,500"
289,Harley-Davidson,Harley-Davidson Fat Bob ,"7,26,100",mumbai,,2015,petrol,"12,000"
290,Harley-Davidson,Harley-Davidson Iron 883 Standard ,"10,11,000",mumbai, 883,2022,petrol,"13,000"
291,Kawasaki,Kawasaki Ninja ZX-10R ,"15,37,000",bangalore,,2022,petrol,"19,000"
292,Kawasaki,Kawasaki Ninja ZX-10R ,"15,37,000",bangalore,,2022,petrol,"4,500"
293,Kawasaki,Kawasaki Ninja 300 ,"3,24,000",bangalore, 300,2022,petrol,"11,000"
294,Kawasaki,Kawasaki Ninja 300 ,"3,24,000",mumbai, 300,2022,petrol,"5,600"
295,Kawasaki,Kawasaki Ninja 300 ,"3,24,000",hyderabad, 300,2022,petrol,"15,000"
296,Kawasaki,Kawasaki Ninja 1000 SX ,"11,51,000",mumbai, 100,2022,petrol,"2,500"
297,Kawasaki,Kawasaki W800 ,"7,33,000",mumbai,,2022,petrol,"5,900"
298,BenelliImperiale,BenelliImperiale 400 ,"2,10,900",mumbai, 400,2022,petrol,"12,000"
299,BenelliImperiale,BenelliImperiale 400 ,"1,99,000",, 400,2022,petrol,"7,000"
300,BenelliImperiale,BenelliImperiale 400 ,"2,10,900",mumbai, 400,2022,petrol,"24,000"
301,Harley-Davidson,Harley-Davidson Street 750 ABS ,"5,02,687",mumbai, 750 ABS,2019,petrol,"17,000"
302,BMW,BMW G 310 R ,"2,72,450",bangalore, 310 R,2019,petrol,"9,000"
303,Suzuki,Suzuki Hayabusa 1300cc ,"12,18,562",bangalore, 1300cc,2015,petrol,"3,300"
304,Benelli,Benelli TRK 502X ,"6,22,000",bangalore, 502,2019,petrol,"9,265"
305,Ducati,Ducati Monster 797 ,"5,40,250",mumbai, 797,2017,petrol,"3,400"
306,Ducati,Ducati Streetfighter V4 ,"21,88,250",mumbai,,2021,petrol,"10,000"
